timestamp,frontend_ms,extraction_ms,matching_ms,estimation_ms
1403715914.634058,6.699112,4.694273,2.004839,33.635018
1403715914.734058,9.581885,7.504718,2.077167,31.152108
1403715914.834058,5.396661,4.334958,1.061703,33.073598
1403715914.934058,5.542348,4.414730,1.127618,29.772228
1403715915.034058,9.187013,7.418754,1.768259,24.539931
1403715915.134058,8.176536,5.873379,2.303157,29.761927
1403715915.234058,6.463182,4.761871,1.701311,23.900132
1403715915.334058,7.627852,5.392193,2.235659,24.174645
1403715915.434058,6.707469,5.763070,0.944399,27.134043
1403715915.534058,5.578798,4.240068,1.338730,28.731195
1403715915.634058,8.886609,6.970499,1.916110,31.104958
1403715915.734058,9.112630,7.042256,2.070374,22.761643
1403715915.834058,8.477580,6.100111,2.377469,27.487755
1403715915.934058,7.804659,5.631048,2.173611,26.660761
1403715916.034058,4.351080,3.401771,0.949309,31.282857
1403715916.134058,7.177183,5.798717,1.378466,22.038265
1403715916.234058,6.491988,5.312701,1.179287,29.222923
1403715916.334058,9.681093,7.646888,2.034205,26.228888
1403715916.434058,6.377840,4.619921,1.757919,26.871643
1403715916.534058,8.100391,4.099821,4.000570,26.253505
1403715916.634058,6.425862,5.063256,1.362606,28.160529
1403715916.734058,8.873635,5.947200,2.926435,27.148661
1403715916.834058,5.355653,4.214629,1.141024,24.983296
1403715916.934058,5.240263,4.237112,1.003151,23.611783
1403715917.034058,6.416223,4.795916,1.620307,22.458856
1403715917.134058,5.228512,4.167089,1.061423,19.037849
1403715917.234058,5.823272,4.772581,1.050691,16.304472
1403715917.334058,5.440033,4.266478,1.173555,15.916993
1403715917.434058,6.160396,4.359696,1.800700,14.123066
1403715917.534058,5.504437,4.392529,1.111908,14.989686
1403715917.634058,5.170250,4.030769,1.139481,16.068412
1403715917.734058,6.273572,5.131576,1.141996,23.882879
1403715917.834058,6.328276,5.044781,1.283495,23.663952
1403715917.934058,9.386823,7.219434,2.167389,18.329980
1403715918.034058,8.145608,6.147752,1.997856,23.764674
1403715918.134058,9.646027,7.543832,2.102195,19.869210
1403715918.234058,7.103863,5.700550,1.403313,30.771793
1403715918.334058,6.287047,5.211919,1.075128,24.660581
1403715918.434058,5.608535,3.368768,2.239767,20.488883
1403715918.534058,5.118831,3.349491,1.769340,21.590091
1403715918.634058,33.109096,18.884907,14.224189,23.065071
1403715918.734058,33.598650,18.113108,15.485542,26.154497
1403715918.834058,29.394617,17.394686,11.999931,18.534159
1403715918.934058,29.107393,17.273749,11.833644,19.090700
1403715919.034058,27.204126,15.331197,11.872929,19.813105
1403715919.134058,6.768193,4.998853,1.769340,21.989883
1403715919.234058,6.523528,5.458910,1.064618,12.152050
1403715919.334058,5.365351,4.330199,1.035152,11.760034
1403715919.434058,1.036345,0.000642,1.035703,20.531875
1403715919.534058,6.194791,4.985207,1.209584,21.119665
1403715919.634058,6.680888,5.670403,1.010485,22.507498
1403715919.734058,5.423483,4.367290,1.056193,23.169558
1403715919.834058,8.159895,6.809873,1.350022,24.656974
1403715919.934058,7.656826,5.449892,2.206934,22.892753
1403715920.034058,6.909553,4.931034,1.978519,18.869007
1403715920.134058,6.633177,5.643983,0.989194,23.954436
1403715920.234058,9.643442,8.070946,1.572496,23.004335
1403715920.334058,10.816156,8.839661,1.976495,30.665490
1403715920.434058,11.937420,7.583195,4.354225,30.027986
1403715920.534058,6.512686,5.045291,1.467395,31.801825
1403715920.634058,4.676669,3.744293,0.932376,28.145861
1403715920.734058,7.973350,5.896083,2.077267,25.752160
1403715920.834058,10.257061,8.349427,1.907634,26.244238
1403715920.934058,6.386638,5.382184,1.004454,31.154993
1403715921.034058,7.839376,6.373012,1.466364,24.582221
1403715921.134058,7.028661,4.269725,2.758936,24.342585
1403715921.234058,7.235414,5.078174,2.157240,30.690729
1403715921.334058,7.715680,5.460423,2.255257,23.522020
1403715921.434058,6.420071,4.968195,1.451876,21.337320
1403715921.534058,9.208723,6.238254,2.970469,19.004526
1403715921.634058,6.615373,5.319935,1.295438,21.680884
1403715921.734058,6.656433,5.302122,1.354311,24.359096
1403715921.834058,6.778293,5.449592,1.328701,18.016223
1403715921.934058,7.802665,5.655113,2.147552,19.226639
1403715922.034058,8.260194,5.944864,2.315330,17.037378
1403715922.134058,9.535917,7.256735,2.279182,12.631735
1403715922.234058,7.446266,5.488396,1.957870,13.122600
1403715922.334058,8.857093,4.023505,4.833588,15.996585
1403715922.434058,5.920108,4.865439,1.054669,21.002341
1403715922.534058,5.973650,4.944640,1.029010,17.099446
1403715922.634058,9.328753,7.907946,1.420807,19.631009
1403715922.734058,7.279678,5.862729,1.416949,20.235991
1403715922.834058,7.758740,5.310727,2.448013,16.692982
1403715922.934058,8.271990,6.167400,2.104590,16.614741
1403715923.034058,6.612196,5.365852,1.246344,18.417637
1403715923.134058,6.575186,5.277835,1.297351,19.333242
1403715923.234058,6.608038,4.505954,2.102084,17.224454
1403715923.334058,7.015235,4.910846,2.104389,16.628438
1403715923.434058,7.142357,5.976486,1.165871,18.780929
1403715923.534058,8.287929,5.893617,2.394312,18.915976
1403715923.634058,8.366118,6.425270,1.940848,19.712914
1403715923.734058,7.338531,5.333641,2.004890,18.885930
1403715923.834058,8.059815,6.958256,1.101559,24.509633
1403715923.934058,8.211213,5.947951,2.263262,19.281062
1403715924.034058,6.973896,5.134341,1.839555,17.934727
1403715924.134058,8.558605,6.510423,2.048182,22.819484
1403715924.234058,9.035745,7.156164,1.879581,28.708122
1403715924.334058,6.256961,5.276112,0.980849,24.172421
1403715924.434058,4.404771,3.491662,0.913109,23.271063
1403715924.534058,6.518218,4.288340,2.229878,24.958256
1403715924.634058,6.076527,4.759718,1.316809,21.662529
1403715924.734058,7.039490,4.794784,2.244706,20.372141
1403715924.834058,7.466044,6.222605,1.243439,21.147688
1403715924.934058,6.276988,4.941554,1.335434,21.697235
1403715925.034058,6.769908,4.758205,2.011703,15.509858
1403715925.134058,9.102060,6.658916,2.443144,21.122621
1403715925.234058,5.452818,4.218306,1.234512,16.852976
1403715925.334058,6.611136,4.618499,1.992637,13.204135
1403715925.434058,8.346301,5.519926,2.826375,11.763190
1403715925.534058,7.350483,5.124402,2.226081,10.544268
1403715925.634058,31.192115,19.032339,12.159776,14.955021
1403715925.734058,40.312269,17.879402,22.432867,10.848648
1403715925.834058,39.200552,22.302990,16.897562,10.037172
1403715925.934058,34.242877,18.199693,16.043184,15.178656
1403715926.034058,35.087785,17.424746,17.663039,15.838514
1403715926.134058,6.563053,4.440740,2.122313,18.271048
1403715926.234058,6.904724,5.660073,1.244651,16.471039
1403715926.334058,6.674295,5.102371,1.571924,12.754238
1403715926.434058,4.452132,3.511630,0.940502,14.980700
1403715926.534058,4.505062,3.602633,0.902429,16.035789
1403715926.634058,10.058643,7.834716,2.223927,19.267076
1403715926.734058,8.049454,6.258613,1.790841,20.504603
1403715926.834058,8.684395,6.990628,1.693767,19.600469
1403715926.934058,8.125029,6.411585,1.713444,15.193204
1403715927.034058,8.515423,6.200312,2.315111,16.248905
1403715927.134058,6.927838,4.747234,2.180604,16.665971
1403715927.234058,6.804603,5.490580,1.314023,21.024613
1403715927.334058,8.279584,6.144516,2.135068,24.998685
1403715927.434058,8.417757,6.344196,2.073561,25.074569
1403715927.534058,8.015039,4.555328,3.459711,18.044507
